seriesid,date,statefips,countyfips,state,county,labforce,employed,unemployed,urate
CN3908100000000,2022-12-01,39,081,OH,Jefferson County,26762,25425,1337,5
CN3908300000000,2022-12-01,39,083,OH,Knox County,30659,29693,966,3.2
CN3908500000000,2022-12-01,39,085,OH,Lake County,123306,119250,4056,3.3
CN3908700000000,2022-12-01,39,087,OH,Lawrence County,23238,22284,954,4.1
CN3908900000000,2022-12-01,39,089,OH,Licking County,91694,88960,2734,3
CN3909100000000,2022-12-01,39,091,OH,Logan County,22542,21832,710,3.1
CN3909300000000,2022-12-01,39,093,OH,Lorain County,151436,146157,5279,3.5
CN3909500000000,2022-12-01,39,095,OH,Lucas County,202429,194183,8246,4.1
CN3909700000000,2022-12-01,39,097,OH,Madison County,20973,20384,589,2.8
CN3909900000000,2022-12-01,39,099,OH,Mahoning County,97469,93330,4139,4.2
CN3910100000000,2022-12-01,39,101,OH,Marion County,26745,25838,907,3.4
CN3910300000000,2022-12-01,39,103,OH,Medina County,96684,93773,2911,3
CN3910500000000,2022-12-01,39,105,OH,Meigs County,8437,7946,491,5.8
CN3910700000000,2022-12-01,39,107,OH,Mercer County,22575,22096,479,2.1
CN3910900000000,2022-12-01,39,109,OH,Miami County,53331,51658,1673,3.1
CN3911100000000,2022-12-01,39,111,OH,Monroe County,5157,4832,325,6.3
CN3911300000000,2022-12-01,39,113,OH,Montgomery County,245067,236186,8881,3.6
CN3911500000000,2022-12-01,39,115,OH,Morgan County,6793,6408,385,5.7
CN3911700000000,2022-12-01,39,117,OH,Morrow County,17009,16393,616,3.6
CN3911900000000,2022-12-01,39,119,OH,Muskingum County,40597,38936,1661,4.1
CN3912100000000,2022-12-01,39,121,OH,Noble County,4521,4233,288,6.4
CN3912300000000,2022-12-01,39,123,OH,Ottawa County,19660,18395,1265,6.4
CN3912500000000,2022-12-01,39,125,OH,Paulding County,8580,8354,226,2.6
CN3912700000000,2022-12-01,39,127,OH,Perry County,15946,15280,666,4.2
CN3912900000000,2022-12-01,39,129,OH,Pickaway County,26766,25878,888,3.3
CN3913100000000,2022-12-01,39,131,OH,Pike County,10883,10321,562,5.2
CN3913300000000,2022-12-01,39,133,OH,Portage County,84208,81198,3010,3.6
CN3913500000000,2022-12-01,39,135,OH,Preble County,21647,21010,637,2.9
CN3913700000000,2022-12-01,39,137,OH,Putnam County,18679,18155,524,2.8
CN3913900000000,2022-12-01,39,139,OH,Richland County,50396,48189,2207,4.4
CN3914100000000,2022-12-01,39,141,OH,Ross County,35009,33790,1219,3.5
CN3914300000000,2022-12-01,39,143,OH,Sandusky County,29305,28143,1162,4
CN3914500000000,2022-12-01,39,145,OH,Scioto County,29178,27709,1469,5
CN3914700000000,2022-12-01,39,147,OH,Seneca County,25805,24843,962,3.7
CN3914900000000,2022-12-01,39,149,OH,Shelby County,23199,22533,666,2.9
CN3915100000000,2022-12-01,39,151,OH,Stark County,180041,173334,6707,3.7
CN3915300000000,2022-12-01,39,153,OH,Summit County,261892,251958,9934,3.8
CN3915500000000,2022-12-01,39,155,OH,Trumbull County,82419,78733,3686,4.5
CN3915700000000,2022-12-01,39,157,OH,Tuscarawas County,44258,42484,1774,4
CN3915900000000,2022-12-01,39,159,OH,Union County,30215,29422,793,2.6
CN3916100000000,2022-12-01,39,161,OH,Van Wert County,14138,13767,371,2.6
CN3916300000000,2022-12-01,39,163,OH,Vinton County,5362,5062,300,5.6
CN3916500000000,2022-12-01,39,165,OH,Warren County,122390,118930,3460,2.8
CN3916700000000,2022-12-01,39,167,OH,Washington County,26245,25042,1203,4.6
CN3916900000000,2022-12-01,39,169,OH,Wayne County,59741,58003,1738,2.9
CN3917100000000,2022-12-01,39,171,OH,Williams County,17952,17440,512,2.9
CN3917300000000,2022-12-01,39,173,OH,Wood County,69115,66965,2150,3.1
CN3917500000000,2022-12-01,39,175,OH,Wyandot County,13126,12811,315,2.4
CN4000100000000,2022-12-01,40,001,OK,Adair County,8604,8362,242,2.8
CN4000300000000,2022-12-01,40,003,OK,Alfalfa County,2697,2642,55,2
CN4000500000000,2022-12-01,40,005,OK,Atoka County,5121,4956,165,3.2
CN4000700000000,2022-12-01,40,007,OK,Beaver County,2580,2538,42,1.6
CN4000900000000,2022-12-01,40,009,OK,Beckham County,10333,10107,226,2.2
CN4001100000000,2022-12-01,40,011,OK,Blaine County,4385,4308,77,1.8
CN4001300000000,2022-12-01,40,013,OK,Bryan County,23259,22715,544,2.3
CN4001500000000,2022-12-01,40,015,OK,Caddo County,11671,11336,335,2.9
CN4001700000000,2022-12-01,40,017,OK,Canadian County,80999,79243,1756,2.2
CN4001900000000,2022-12-01,40,019,OK,Carter County,21348,20712,636,3
CN4002100000000,2022-12-01,40,021,OK,Cherokee County,19832,19243,589,3
CN4002300000000,2022-12-01,40,023,OK,Choctaw County,6037,5763,274,4.5
CN4002500000000,2022-12-01,40,025,OK,Cimarron County,1629,1611,18,1.1
CN4002700000000,2022-12-01,40,027,OK,Cleveland County,149096,145908,3188,2.1
CN4002900000000,2022-12-01,40,029,OK,Coal County,2388,2324,64,2.7
CN4003100000000,2022-12-01,40,031,OK,Comanche County,47226,45717,1509,3.2
CN4003300000000,2022-12-01,40,033,OK,Cotton County,2680,2600,80,3
CN4003500000000,2022-12-01,40,035,OK,Craig County,5913,5765,148,2.5
CN4003700000000,2022-12-01,40,037,OK,Creek County,31321,30400,921,2.9
CN4003900000000,2022-12-01,40,039,OK,Custer County,15090,14785,305,2
CN4004100000000,2022-12-01,40,041,OK,Delaware County,19961,19426,535,2.7
CN4004300000000,2022-12-01,40,043,OK,Dewey County,3043,2993,50,1.6
CN4004500000000,2022-12-01,40,045,OK,Ellis County,2072,2031,41,2
CN4004700000000,2022-12-01,40,047,OK,Garfield County,26077,25401,676,2.6
CN4004900000000,2022-12-01,40,049,OK,Garvin County,12811,12459,352,2.7
CN4005100000000,2022-12-01,40,051,OK,Grady County,27515,26842,673,2.4
CN4005300000000,2022-12-01,40,053,OK,Grant County,2731,2686,45,1.6
CN4005500000000,2022-12-01,40,055,OK,Greer County,1828,1773,55,3
CN4005700000000,2022-12-01,40,057,OK,Harmon County,1187,1157,30,2.5
CN4005900000000,2022-12-01,40,059,OK,Harper County,1800,1773,27,1.5
CN4006100000000,2022-12-01,40,061,OK,Haskell County,4145,3987,158,3.8
CN4006300000000,2022-12-01,40,063,OK,Hughes County,5199,5029,170,3.3
CN4006500000000,2022-12-01,40,065,OK,Jackson County,10764,10522,242,2.2
CN4006700000000,2022-12-01,40,067,OK,Jefferson County,2476,2403,73,2.9
CN4006900000000,2022-12-01,40,069,OK,Johnston County,3781,3655,126,3.3
CN4007100000000,2022-12-01,40,071,OK,Kay County,18503,17933,570,3.1
CN4007300000000,2022-12-01,40,073,OK,Kingfisher County,9018,8871,147,1.6
CN4007500000000,2022-12-01,40,075,OK,Kiowa County,3601,3498,103,2.9
CN4007700000000,2022-12-01,40,077,OK,Latimer County,3129,2967,162,5.2
CN4007900000000,2022-12-01,40,079,OK,Le Flore County,19596,18996,600,3.1
CN4008100000000,2022-12-01,40,081,OK,Lincoln County,16271,15835,436,2.7
CN4008300000000,2022-12-01,40,083,OK,Logan County,23507,22952,555,2.4
CN4008500000000,2022-12-01,40,085,OK,Love County,5817,5696,121,2.1
CN4008700000000,2022-12-01,40,087,OK,McClain County,21041,20550,491,2.3
CN4008900000000,2022-12-01,40,089,OK,McCurtain County,15725,15155,570,3.6
CN4009100000000,2022-12-01,40,091,OK,McIntosh County,7203,6873,330,4.6
CN4009300000000,2022-12-01,40,093,OK,Major County,3812,3727,85,2.2
CN4009500000000,2022-12-01,40,095,OK,Marshall County,7201,6999,202,2.8
CN4009700000000,2022-12-01,40,097,OK,Mayes County,19703,19117,586,3
CN4009900000000,2022-12-01,40,099,OK,Murray County,5994,5844,150,2.5
CN4010100000000,2022-12-01,40,101,OK,Muskogee County,28664,27779,885,3.1
CN4010300000000,2022-12-01,40,103,OK,Noble County,5821,5716,105,1.8
CN4010500000000,2022-12-01,40,105,OK,Nowata County,4739,4621,118,2.5
CN4010700000000,2022-12-01,40,107,OK,Okfuskee County,4420,4258,162,3.7
CN4010900000000,2022-12-01,40,109,OK,Oklahoma County,400311,389933,10378,2.6
CN4011100000000,2022-12-01,40,111,OK,Okmulgee County,15570,14985,585,3.8
CN4011300000000,2022-12-01,40,113,OK,Osage County,20514,19872,642,3.1
CN4011500000000,2022-12-01,40,115,OK,Ottawa County,15423,15052,371,2.4
CN4011700000000,2022-12-01,40,117,OK,Pawnee County,7354,7112,242,3.3
CN4011900000000,2022-12-01,40,119,OK,Payne County,39222,38330,892,2.3
CN4012100000000,2022-12-01,40,121,OK,Pittsburg County,16362,15748,614,3.8
CN4012300000000,2022-12-01,40,123,OK,Pontotoc County,19505,19069,436,2.2
CN4012500000000,2022-12-01,40,125,OK,Pottawatomie County,33269,32271,998,3
CN4012700000000,2022-12-01,40,127,OK,Pushmataha County,4582,4415,167,3.6
CN4012900000000,2022-12-01,40,129,OK,Roger Mills County,1814,1782,32,1.8
CN4013100000000,2022-12-01,40,131,OK,Rogers County,45447,44344,1103,2.4
CN4013300000000,2022-12-01,40,133,OK,Seminole County,9237,8905,332,3.6
CN4013500000000,2022-12-01,40,135,OK,Sequoyah County,16846,16354,492,2.9
CN4013700000000,2022-12-01,40,137,OK,Stephens County,19388,18833,555,2.9
CN4013900000000,2022-12-01,40,139,OK,Texas County,11906,11739,167,1.4
CN4014100000000,2022-12-01,40,141,OK,Tillman County,2979,2861,118,4
CN4014300000000,2022-12-01,40,143,OK,Tulsa County,325575,317060,8515,2.6
CN4014500000000,2022-12-01,40,145,OK,Wagoner County,39118,38079,1039,2.7
CN4014700000000,2022-12-01,40,147,OK,Washington County,22105,21466,639,2.9
CN4014900000000,2022-12-01,40,149,OK,Washita County,5362,5236,126,2.3
CN4015100000000,2022-12-01,40,151,OK,Woods County,4615,4550,65,1.4
CN4015300000000,2022-12-01,40,153,OK,Woodward County,8594,8383,211,2.5
CN4100100000000,2022-12-01,41,001,OR,Baker County,7337,6902,435,5.9
CN4100300000000,2022-12-01,41,003,OR,Benton County,49857,48034,1823,3.7
CN4100500000000,2022-12-01,41,005,OR,Clackamas County,227914,218759,9155,4
CN4100700000000,2022-12-01,41,007,OR,Clatsop County,19074,18126,948,5
CN4100900000000,2022-12-01,41,009,OR,Columbia County,25384,24043,1341,5.3
CN4101100000000,2022-12-01,41,011,OR,Coos County,26473,24910,1563,5.9
CN4101300000000,2022-12-01,41,013,OR,Crook County,11153,10391,762,6.8
CN4101500000000,2022-12-01,41,015,OR,Curry County,8871,8313,558,6.3
CN4101700000000,2022-12-01,41,017,OR,Deschutes County,103082,97988,5094,4.9
CN4101900000000,2022-12-01,41,019,OR,Douglas County,47351,44560,2791,5.9
CN4102100000000,2022-12-01,41,021,OR,Gilliam County,1026,987,39,3.8
CN4102300000000,2022-12-01,41,023,OR,Grant County,3162,2925,237,7.5
CN4102500000000,2022-12-01,41,025,OR,Harney County,3696,3459,237,6.4
CN4102700000000,2022-12-01,41,027,OR,Hood River County,14174,13644,530,3.7
CN4102900000000,2022-12-01,41,029,OR,Jackson County,106225,100734,5491,5.2
CN4103100000000,2022-12-01,41,031,OR,Jefferson County,10228,9572,656,6.4
CN4103300000000,2022-12-01,41,033,OR,Josephine County,36851,34437,2414,6.6
CN4103500000000,2022-12-01,41,035,OR,Klamath County,30210,28007,2203,7.3
CN4103700000000,2022-12-01,41,037,OR,Lake County,3630,3391,239,6.6
CN4103900000000,2022-12-01,41,039,OR,Lane County,182218,173156,9062,5
CN4104100000000,2022-12-01,41,041,OR,Lincoln County,20214,18952,1262,6.2
CN4104300000000,2022-12-01,41,043,OR,Linn County,61687,58602,3085,5
CN4104500000000,2022-12-01,41,045,OR,Malheur County,12458,11815,643,5.2
CN4104700000000,2022-12-01,41,047,OR,Marion County,170514,162761,7753,4.5
CN4104900000000,2022-12-01,41,049,OR,Morrow County,5819,5561,258,4.4
CN4105100000000,2022-12-01,41,051,OR,Multnomah County,471278,451627,19651,4.2
CN4105300000000,2022-12-01,41,053,OR,Polk County,42901,40995,1906,4.4
CN4105500000000,2022-12-01,41,055,OR,Sherman County,958,924,34,3.5
CN4105700000000,2022-12-01,41,057,OR,Tillamook County,11708,11109,599,5.1
CN4105900000000,2022-12-01,41,059,OR,Umatilla County,37588,35615,1973,5.2
CN4106100000000,2022-12-01,41,061,OR,Union County,12013,11370,643,5.4
CN4106300000000,2022-12-01,41,063,OR,Wallowa County,3479,3228,251,7.2
CN4106500000000,2022-12-01,41,065,OR,Wasco County,12933,12245,688,5.3
CN4106700000000,2022-12-01,41,067,OR,Washington County,337652,325225,12427,3.7
CN4106900000000,2022-12-01,41,069,OR,Wheeler County,727,701,26,3.6
CN4107100000000,2022-12-01,41,071,OR,Yamhill County,56508,54197,2311,4.1
CN4200100000000,2022-12-01,42,001,PA,Adams County,54765,53259,1506,2.7
CN4200300000000,2022-12-01,42,003,PA,Allegheny County,626424,602993,23431,3.7
CN4200500000000,2022-12-01,42,005,PA,Armstrong County,30985,29462,1523,4.9
CN4200700000000,2022-12-01,42,007,PA,Beaver County,81594,77281,4313,5.3
CN4200900000000,2022-12-01,42,009,PA,Bedford County,24339,23168,1171,4.8
CN4201100000000,2022-12-01,42,011,PA,Berks County,213661,205901,7760,3.6
CN4201300000000,2022-12-01,42,013,PA,Blair County,58471,56083,2388,4.1
CN4201500000000,2022-12-01,42,015,PA,Bradford County,27818,26752,1066,3.8
CN4201700000000,2022-12-01,42,017,PA,Bucks County,349620,338038,11582,3.3
CN4201900000000,2022-12-01,42,019,PA,Butler County,98082,94349,3733,3.8
CN4202100000000,2022-12-01,42,021,PA,Cambria County,55116,52380,2736,5
CN4202300000000,2022-12-01,42,023,PA,Cameron County,1920,1801,119,6.2
CN4202500000000,2022-12-01,42,025,PA,Carbon County,32499,31037,1462,4.5
CN4202700000000,2022-12-01,42,027,PA,Centre County,79725,77175,2550,3.2
CN4202900000000,2022-12-01,42,029,PA,Chester County,295158,287140,8018,2.7
CN4203100000000,2022-12-01,42,031,PA,Clarion County,15620,14862,758,4.9
CN4203300000000,2022-12-01,42,033,PA,Clearfield County,34849,32958,1891,5.4
CN4203500000000,2022-12-01,42,035,PA,Clinton County,16881,16000,881,5.2
CN4203700000000,2022-12-01,42,037,PA,Columbia County,33962,32530,1432,4.2
CN4203900000000,2022-12-01,42,039,PA,Crawford County,37421,35741,1680,4.5
CN4204100000000,2022-12-01,42,041,PA,Cumberland County,134968,131118,3850,2.9
CN4204300000000,2022-12-01,42,043,PA,Dauphin County,145947,140955,4992,3.4
CN4204500000000,2022-12-01,42,045,PA,Delaware County,301114,290539,10575,3.5
CN4204700000000,2022-12-01,42,047,PA,Elk County,14105,13514,591,4.2
CN4204900000000,2022-12-01,42,049,PA,Erie County,124734,119073,5661,4.5
CN4205100000000,2022-12-01,42,051,PA,Fayette County,54761,51612,3149,5.8
CN4205300000000,2022-12-01,42,053,PA,Forest County,1648,1533,115,7
CN4205500000000,2022-12-01,42,055,PA,Franklin County,77988,75460,2528,3.2
CN4205700000000,2022-12-01,42,057,PA,Fulton County,7198,6929,269,3.7
CN4205900000000,2022-12-01,42,059,PA,Greene County,15194,14498,696,4.6
CN4206100000000,2022-12-01,42,061,PA,Huntingdon County,19106,17945,1161,6.1
CN4206300000000,2022-12-01,42,063,PA,Indiana County,36063,34329,1734,4.8
CN4206500000000,2022-12-01,42,065,PA,Jefferson County,19173,18259,914,4.8
CN4206700000000,2022-12-01,42,067,PA,Juniata County,12276,11714,562,4.6
CN4206900000000,2022-12-01,42,069,PA,Lackawanna County,105345,101003,4342,4.1
CN4207100000000,2022-12-01,42,071,PA,Lancaster County,289123,280818,8305,2.9
CN4207300000000,2022-12-01,42,073,PA,Lawrence County,38700,36653,2047,5.3
CN4207500000000,2022-12-01,42,075,PA,Lebanon County,73680,71455,2225,3
CN4207700000000,2022-12-01,42,077,PA,Lehigh County,196787,189353,7434,3.8
CN4207900000000,2022-12-01,42,079,PA,Luzerne County,158638,151100,7538,4.8
CN4208100000000,2022-12-01,42,081,PA,Lycoming County,54990,52610,2380,4.3
CN4208300000000,2022-12-01,42,083,PA,McKean County,16594,15709,885,5.3
CN4208500000000,2022-12-01,42,085,PA,Mercer County,47223,45109,2114,4.5
CN4208700000000,2022-12-01,42,087,PA,Mifflin County,20871,19921,950,4.6
CN4208900000000,2022-12-01,42,089,PA,Monroe County,82029,77828,4201,5.1
CN4209100000000,2022-12-01,42,091,PA,Montgomery County,465058,451257,13801,3
CN4209300000000,2022-12-01,42,093,PA,Montour County,9231,8947,284,3.1
CN4209500000000,2022-12-01,42,095,PA,Northampton County,163993,157993,6000,3.7
CN4209700000000,2022-12-01,42,097,PA,Northumberland County,41257,39326,1931,4.7
CN4209900000000,2022-12-01,42,099,PA,Perry County,24782,23977,805,3.2
CN4210100000000,2022-12-01,42,101,PA,Philadelphia County/city,730604,697227,33377,4.6
CN4210300000000,2022-12-01,42,103,PA,Pike County,25674,24307,1367,5.3
CN4210500000000,2022-12-01,42,105,PA,Potter County,6780,6364,416,6.1
CN4210700000000,2022-12-01,42,107,PA,Schuylkill County,65315,62398,2917,4.5
CN4210900000000,2022-12-01,42,109,PA,Snyder County,19693,18874,819,4.2
CN4211100000000,2022-12-01,42,111,PA,Somerset County,32195,30454,1741,5.4
CN4211300000000,2022-12-01,42,113,PA,Sullivan County,2516,2403,113,4.5
CN4211500000000,2022-12-01,42,115,PA,Susquehanna County,20055,19282,773,3.9
CN4211700000000,2022-12-01,42,117,PA,Tioga County,18704,17820,884,4.7
CN4211900000000,2022-12-01,42,119,PA,Union County,19254,18626,628,3.3
CN4212100000000,2022-12-01,42,121,PA,Venango County,20868,19834,1034,5
CN4212300000000,2022-12-01,42,123,PA,Warren County,17330,16453,877,5.1
CN4212500000000,2022-12-01,42,125,PA,Washington County,103762,99616,4146,4
CN4212700000000,2022-12-01,42,127,PA,Wayne County,22090,21020,1070,4.8
CN4212900000000,2022-12-01,42,129,PA,Westmoreland County,174372,167159,7213,4.1
CN4213100000000,2022-12-01,42,131,PA,Wyoming County,13588,12996,592,4.4
CN4213300000000,2022-12-01,42,133,PA,York County,237742,230126,7616,3.2
CN4400100000000,2022-12-01,44,001,RI,Bristol County,26230,25734,496,1.9
CN4400300000000,2022-12-01,44,003,RI,Kent County,92469,90568,1901,2.1
CN4400500000000,2022-12-01,44,005,RI,Newport County,44597,43665,932,2.1
CN4400700000000,2022-12-01,44,007,RI,Providence County,329939,321508,8431,2.6
CN4400900000000,2022-12-01,44,009,RI,Washington County,69346,67994,1352,1.9
CN4500100000000,2022-12-01,45,001,SC,Abbeville County,9490,9161,329,3.5
CN4500300000000,2022-12-01,45,003,SC,Aiken County,71954,69814,2140,3
CN4500500000000,2022-12-01,45,005,SC,Allendale County,2201,2077,124,5.6
CN4500700000000,2022-12-01,45,007,SC,Anderson County,90821,88332,2489,2.7
CN4500900000000,2022-12-01,45,009,SC,Bamberg County,4462,4249,213,4.8
CN4501100000000,2022-12-01,45,011,SC,Barnwell County,7333,7024,309,4.2
CN4501300000000,2022-12-01,45,013,SC,Beaufort County,75873,73634,2239,3
CN4501500000000,2022-12-01,45,015,SC,Berkeley County,109916,106942,2974,2.7
CN4501700000000,2022-12-01,45,017,SC,Calhoun County,6295,6085,210,3.3
CN4501900000000,2022-12-01,45,019,SC,Charleston County,215648,210308,5340,2.5
CN4502100000000,2022-12-01,45,021,SC,Cherokee County,24053,23181,872,3.6
CN4502300000000,2022-12-01,45,023,SC,Chester County,13232,12710,522,3.9
CN4502500000000,2022-12-01,45,025,SC,Chesterfield County,20689,20000,689,3.3
CN4502700000000,2022-12-01,45,027,SC,Clarendon County,11640,11124,516,4.4
CN4502900000000,2022-12-01,45,029,SC,Colleton County,15625,15117,508,3.3
CN4503100000000,2022-12-01,45,031,SC,Darlington County,29441,28489,952,3.2
CN4503300000000,2022-12-01,45,033,SC,Dillon County,12651,12086,565,4.5
CN4503500000000,2022-12-01,45,035,SC,Dorchester County,79655,77628,2027,2.5
CN4503700000000,2022-12-01,45,037,SC,Edgefield County,10032,9712,320,3.2
CN4503900000000,2022-12-01,45,039,SC,Fairfield County,9044,8667,377,4.2
CN4504100000000,2022-12-01,45,041,SC,Florence County,65525,63636,1889,2.9
CN4504300000000,2022-12-01,45,043,SC,Georgetown County,25347,24443,904,3.6
CN4504500000000,2022-12-01,45,045,SC,Greenville County,258383,251722,6661,2.6
CN4504700000000,2022-12-01,45,047,SC,Greenwood County,29778,28779,999,3.4
CN4504900000000,2022-12-01,45,049,SC,Hampton County,7703,7493,210,2.7
CN4505100000000,2022-12-01,45,051,SC,Horry County,147297,141572,5725,3.9
CN4505300000000,2022-12-01,45,053,SC,Jasper County,13030,12674,356,2.7
CN4505500000000,2022-12-01,45,055,SC,Kershaw County,28898,28023,875,3
CN4505700000000,2022-12-01,45,057,SC,Lancaster County,43284,41839,1445,3.3
CN4505900000000,2022-12-01,45,059,SC,Laurens County,29806,28893,913,3.1
CN4506100000000,2022-12-01,45,061,SC,Lee County,6267,5982,285,4.5
CN4506300000000,2022-12-01,45,063,SC,Lexington County,149199,145450,3749,2.5
CN4506500000000,2022-12-01,45,065,SC,McCormick County,3535,3422,113,3.2
CN4506700000000,2022-12-01,45,067,SC,Marion County,12288,11729,559,4.5
CN4506900000000,2022-12-01,45,069,SC,Marlboro County,8162,7532,630,7.7
CN4507100000000,2022-12-01,45,071,SC,Newberry County,18748,18256,492,2.6
CN4507300000000,2022-12-01,45,073,SC,Oconee County,33564,32627,937,2.8
CN4507500000000,2022-12-01,45,075,SC,Orangeburg County,32408,31014,1394,4.3
CN4507700000000,2022-12-01,45,077,SC,Pickens County,57523,55960,1563,2.7
CN4507900000000,2022-12-01,45,079,SC,Richland County,194739,189038,5701,2.9
CN4508100000000,2022-12-01,45,081,SC,Saluda County,8124,7892,232,2.9
CN4508300000000,2022-12-01,45,083,SC,Spartanburg County,153390,148976,4414,2.9
CN4508500000000,2022-12-01,45,085,SC,Sumter County,41488,39835,1653,4
CN4508700000000,2022-12-01,45,087,SC,Union County,11123,10641,482,4.3
CN4508900000000,2022-12-01,45,089,SC,Williamsburg County,10434,9950,484,4.6
CN4509100000000,2022-12-01,45,091,SC,York County,147261,143130,4131,2.8
CN4600300000000,2022-12-01,46,003,SD,Aurora County,1497,1467,30,2
CN4600500000000,2022-12-01,46,005,SD,Beadle County,9272,9082,190,2
CN4600700000000,2022-12-01,46,007,SD,Bennett County,1084,1043,41,3.8
CN4600900000000,2022-12-01,46,009,SD,Bon Homme County,2812,2752,60,2.1
CN4601100000000,2022-12-01,46,011,SD,Brookings County,19282,18875,407,2.1
CN4601300000000,2022-12-01,46,013,SD,Brown County,19909,19456,453,2.3
CN4601500000000,2022-12-01,46,015,SD,Brule County,2640,2597,43,1.6
CN4601700000000,2022-12-01,46,017,SD,Buffalo County,728,687,41,5.6
CN4601900000000,2022-12-01,46,019,SD,Butte County,5014,4905,109,2.2
CN4602100000000,2022-12-01,46,021,SD,Campbell County,773,749,24,3.1
CN4602300000000,2022-12-01,46,023,SD,Charles Mix County,3751,3665,86,2.3
CN4602500000000,2022-12-01,46,025,SD,Clark County,1921,1876,45,2.3
CN4602700000000,2022-12-01,46,027,SD,Clay County,7397,7237,160,2.2
CN4602900000000,2022-12-01,46,029,SD,Codington County,15884,15565,319,2
CN4603100000000,2022-12-01,46,031,SD,Corson County,1285,1244,41,3.2
CN4603300000000,2022-12-01,46,033,SD,Custer County,4216,4083,133,3.2
CN4603500000000,2022-12-01,46,035,SD,Davison County,11033,10819,214,1.9
CN4603700000000,2022-12-01,46,037,SD,Day County,2597,2509,88,3.4
CN4603900000000,2022-12-01,46,039,SD,Deuel County,2272,2180,92,4
CN4604100000000,2022-12-01,46,041,SD,Dewey County,2295,2179,116,5.1
CN4604300000000,2022-12-01,46,043,SD,Douglas County,1513,1479,34,2.2
CN4604500000000,2022-12-01,46,045,SD,Edmunds County,1985,1946,39,2
CN4604700000000,2022-12-01,46,047,SD,Fall River County,2972,2897,75,2.5
CN4604900000000,2022-12-01,46,049,SD,Faulk County,1101,1080,21,1.9
CN4605100000000,2022-12-01,46,051,SD,Grant County,4407,4255,152,3.4
CN4605300000000,2022-12-01,46,053,SD,Gregory County,2168,2123,45,2.1
CN4605500000000,2022-12-01,46,055,SD,Haakon County,1089,1068,21,1.9
CN4605700000000,2022-12-01,46,057,SD,Hamlin County,3595,3514,81,2.3
CN4605900000000,2022-12-01,46,059,SD,Hand County,1795,1761,34,1.9
CN4606100000000,2022-12-01,46,061,SD,Hanson County,1783,1732,51,2.9
CN4606300000000,2022-12-01,46,063,SD,Harding County,759,746,13,1.7
CN4606500000000,2022-12-01,46,065,SD,Hughes County,9771,9602,169,1.7
CN4606700000000,2022-12-01,46,067,SD,Hutchinson County,3623,3531,92,2.5
CN4606900000000,2022-12-01,46,069,SD,Hyde County,649,636,13,2
CN4607100000000,2022-12-01,46,071,SD,Jackson County,1163,1112,51,4.4
CN4607300000000,2022-12-01,46,073,SD,Jerauld County,1268,1251,17,1.3
CN4607500000000,2022-12-01,46,075,SD,Jones County,494,479,15,3
CN4607700000000,2022-12-01,46,077,SD,Kingsbury County,2719,2665,54,2
CN4607900000000,2022-12-01,46,079,SD,Lake County,6727,6603,124,1.8
CN4608100000000,2022-12-01,46,081,SD,Lawrence County,13900,13611,289,2.1
CN4608300000000,2022-12-01,46,083,SD,Lincoln County,37380,36753,627,1.7
CN4608500000000,2022-12-01,46,085,SD,Lyman County,1672,1623,49,2.9
CN4608700000000,2022-12-01,46,087,SD,McCook County,3114,3056,58,1.9
CN4608900000000,2022-12-01,46,089,SD,McPherson County,968,944,24,2.5
CN4609100000000,2022-12-01,46,091,SD,Marshall County,2503,2428,75,3
CN4609300000000,2022-12-01,46,093,SD,Meade County,14372,14068,304,2.1
CN4609500000000,2022-12-01,46,095,SD,Mellette County,750,726,24,3.2
CN4609700000000,2022-12-01,46,097,SD,Miner County,1236,1213,23,1.9
CN4609900000000,2022-12-01,46,099,SD,Minnehaha County,116198,113883,2315,2
CN4610100000000,2022-12-01,46,101,SD,Moody County,3958,3883,75,1.9
CN4610200000000,2022-12-01,46,102,SD,Oglala Lakota County,3726,3551,175,4.7
CN4610300000000,2022-12-01,46,103,SD,Pennington County,59139,57918,1221,2.1
CN4610500000000,2022-12-01,46,105,SD,Perkins County,1429,1393,36,2.5
CN4610700000000,2022-12-01,46,107,SD,Potter County,1046,1022,24,2.3
CN4610900000000,2022-12-01,46,109,SD,Roberts County,4624,4412,212,4.6
CN4611100000000,2022-12-01,46,111,SD,Sanborn County,1217,1191,26,2.1
CN4611500000000,2022-12-01,46,115,SD,Spink County,3012,2946,66,2.2
CN4611700000000,2022-12-01,46,117,SD,Stanley County,1907,1871,36,1.9
CN4611900000000,2022-12-01,46,119,SD,Sully County,808,797,11,1.4
CN4612100000000,2022-12-01,46,121,SD,Todd County,2970,2861,109,3.7
CN4612300000000,2022-12-01,46,123,SD,Tripp County,3122,3066,56,1.8
CN4612500000000,2022-12-01,46,125,SD,Turner County,4774,4667,107,2.2
CN4612700000000,2022-12-01,46,127,SD,Union County,8712,8519,193,2.2
CN4612900000000,2022-12-01,46,129,SD,Walworth County,2101,2015,86,4.1
CN4613500000000,2022-12-01,46,135,SD,Yankton County,11642,11439,203,1.7
CN4613700000000,2022-12-01,46,137,SD,Ziebach County,958,922,36,3.8
CN4700100000000,2022-12-01,47,001,TN,Anderson County,34740,33722,1018,2.9
CN4700300000000,2022-12-01,47,003,TN,Bedford County,21033,20380,653,3.1
CN4700500000000,2022-12-01,47,005,TN,Benton County,6489,6245,244,3.8
